drzava;ime_priimek;pozicija;rojstni_datum;leto
ESP;Amancio Amaro;VEZNI IGRALEC;16101939;1964
ESP;Jesús María Pereda;NAPADALEC;15061938;1964
ESP;Marcelino Martínez;NAPADALEC;29041940;1964
ESP;Luis Suárez;VEZNI IGRALEC;2051935;1964
ESP;Carlos Lapetra;VEZNI IGRALEC;29111938;1964
DEN;Leif Nielsen;NEZNANO;28051942;1964
DEN;Bent Wolmar;NEZNANO;8081937;1964
DEN;Kaj Hansen;NEZNANO;16081940;1964
DEN;Bent Hansen;NEZNANO;13091933;1964
DEN;Birger Larsen;NEZNANO;27031942;1964
DEN;Erling Nielsen;NEZNANO;2011935;1964
DEN;Carl Bertelsen;NEZNANO;15111937;1964
DEN;Ole Sørensen;NEZNANO;25111937;1964
DEN;Ole Madsen;NEZNANO;21121934;1964
DEN;Kjeld Thorst;NEZNANO;13051940;1964
DEN;John Danielsen;NEZNANO;13071939;1964
HUN;Antal Szentmihályi;VRATAR;13061939;1964
HUN;Dezső Novák;BRANILEC;3021939;1964
HUN;Kálmán Mészöly;BRANILEC;16071941;1964
HUN;Kálmán Ihász;BRANILEC;6031941;1964
HUN;Ernő Solymosi;VEZNI IGRALEC;21061940;1964
HUN;Ferenc Sipos;BRANILEC;13121932;1964
HUN;János Farkas;NAPADALEC;27031942;1964
HUN;Zoltán Varga;NAPADALEC;1011945;1964
HUN;Flórián Albert;NAPADALEC;15091941;1964
HUN;Ferenc Bene;NAPADALEC;17121944;1964
HUN;Máté Fenyvesi;NAPADALEC;20091933;1964
URS;Lev Yashin;VRATAR;22101929;1964
URS;Viktor Shustikov;BRANILEC;28011939;1964
URS;Albert Shesternev;BRANILEC;20061941;1964
URS;Eduard Mudrik;BRANILEC;18071939;1964
URS;Valeri Voronin;VEZNI IGRALEC;17071939;1964
URS;Viktor Anichkin;BRANILEC;8121941;1964
URS;Igor Chislenko;NAPADALEC;4011939;1964
URS;Valentin Ivanov;NAPADALEC;19111934;1964
URS;Viktor Ponedelnik;NAPADALEC;22051937;1964
URS;Gennadi Gusarov;VEZNI IGRALEC;11031937;1964
URS;Galimzyan Khusainov;NAPADALEC;27061937;1964
DEN;Leif Nielsen;NEZNANO;28051942;1964
DEN;Jens Jørgen Hansen;NEZNANO;4011939;1964
DEN;Kaj Hansen;NEZNANO;16081940;1964
DEN;Bent Hansen;NEZNANO;13091933;1964
DEN;Birger Larsen;NEZNANO;27031942;1964
DEN;Erling Nielsen;NEZNANO;2011935;1964
DEN;Carl Bertelsen;NEZNANO;15111937;1964
DEN;Ole Sørensen;NEZNANO;25111937;1964
DEN;Ole Madsen;NEZNANO;21121934;1964
DEN;Kjeld Thorst;NEZNANO;13051940;1964
DEN;John Danielsen;NEZNANO;13071939;1964
HUN;Antal Szentmihályi;VRATAR;13061939;1964
HUN;Sándor Mátrai;BRANILEC;20111932;1964
HUN;Kálmán Mészöly;BRANILEC;16071941;1964
HUN;László Sárosi;BRANILEC;27021932;1964
HUN;István Nagy;VEZNI IGRALEC;14041939;1964
HUN;Ferenc Sipos;BRANILEC;13121932;1964
HUN;Ferenc Bene;NAPADALEC;17121944;1964
HUN;Imre Komora;NAPADALEC;5061940;1964
HUN;Flórián Albert;NAPADALEC;15091941;1964
HUN;Lajos Tichy;NAPADALEC;21031935;1964
HUN;Máté Fenyvesi;NAPADALEC;20091933;1964
ESP;José Ángel Iribar;VRATAR;1031943;1964
ESP;Feliciano Rivilla;BRANILEC;21081936;1964
ESP;Fernando Olivella;BRANILEC;22061936;1964
ESP;Isacio Calleja;BRANILEC;6121936;1964
ESP;Ignacio Zoco;BRANILEC;31071939;1964
ESP;Josep Maria Fusté;VEZNI IGRALEC;15041941;1964
ESP;Amancio Amaro;VEZNI IGRALEC;16101939;1964
ESP;Jesús María Pereda;NAPADALEC;15061938;1964
ESP;Marcelino Martínez;NAPADALEC;29041940;1964
ESP;Luis Suárez;VEZNI IGRALEC;2051935;1964
ESP;Carlos Lapetra;VEZNI IGRALEC;29111938;1964
SRB;Radomir Vukčević;NEZNANO;15091941;1968
SRB;Borivoje Djordjević;VEZNI IGRALEC;2081948;1968
SRB;Ilija Petković;NEZNANO;22091945;1968
SRB;Ivica Osim;VEZNI IGRALEC;6051941;1968
SRB;Rudolf Belin;NEZNANO;4111942;1968
SRB;Ratomir Dujković;NEZNANO;24021946;1968
SRB;Rajko Aleksić;NEZNANO;19021947;1968
SRB;Mladen Ramljak;NEZNANO;1071945;1968
SRB;Ljubomir Mihajlović;NEZNANO;4091942;1968
SRB;Ivan Brzić;NEZNANO;28051941;1968
SRB;Boško Antić;NEZNANO;7011944;1968
SRB;Ilija Pantelić;NEZNANO;2081942;1968
SRB;Mirsad Fazlagić;BRANILEC;4041943;1968
SRB;Milan Damjanović;NEZNANO;15101943;1968
SRB;Blagoje Paunović;NEZNANO;4061947;1968
SRB;Dragan Holcer;NEZNANO;19011945;1968
SRB;Vahidin Musemić;NEZNANO;29101946;1968
SRB;Dragan Džajić;VEZNI IGRALEC;30051946;1968
SRB;Miroslav Pavlović;NEZNANO;23101942;1968
SRB;Jovan Aćimović;NEZNANO;21061948;1968
SRB;Dobrivoje Trivić;NEZNANO;26101943;1968
SRB;Idriz Hošić;NEZNANO;17021944;1968
ITA;Enrico Albertosi;VRATAR;2111939;1968
ITA;Angelo Anquilletti;BRANILEC;25041943;1968
ITA;Giancarlo Bercellino;BRANILEC;9101941;1968
ITA;Giacomo Bulgarelli;VEZNI IGRALEC;24101940;1968
ITA;Ernesto Castano;BRANILEC;2051939;1968
ITA;Giorgio Ferrini;VEZNI IGRALEC;18081939;1968
ITA;Antonio Juliano;VEZNI IGRALEC;1011943;1968
ITA;Giovanni Lodetti;VEZNI IGRALEC;10081942;1968
ITA;Piero Prati;NAPADALEC;13121946;1968
ITA;Gianni Rivera;VEZNI IGRALEC;18081943;1968
ITA;Lido Vieri;VRATAR;16071939;1968
ITA;Dino Zoff;VRATAR;28021942;1968
ITA;Pietro Anastasi;NAPADALEC;7041948;1968
ITA;Tarcisio Burgnich;BRANILEC;25041939;1968
ITA;Picchio;VEZNI IGRALEC;13031943;1968
