datum;domaca_ekipa;gostujoca_ekipa;domaci_goli;gostujoci_goli;del_prvenstva;dodatek;stadion;mesto;stevilo_gledalcev;leto
20 junij 1984 (1984-06-20);Portugalska ; Romunija;1;0;Skupina 2;;Stade de la Beaujoire; Nantes;24464;1984
23 junij 1984 (1984-06-23);Francija ; Portugalska;3;2;Polfinale;Francija zmaga po podaljšku;Stade VélodRim; Marseille;54848;1984
24 junij 1984 (1984-06-24);Danska ; Španija;1;1;Polfinale;Španija zmaga na kazenskih udarcih 4-5;Stade de Gerland; Lyon;47843;1984
27 junij 1984 (1984-06-27);Francija ; Španija;2;0;Finale;;Parc des Princes; Pariz;47368;1984
10 junij 1988 (1988-06-10);Zahodna Nemčija ; Italija;1;1;Skupina 1;;RheinStadionn; Düsseldorf;62552;1988
11 junij 1988 (1988-06-11);Danska ; Španija;2;3;Skupina 1;;NiedersachsenStadionn; Hanover;55707;1988
14 junij 1988 (1988-06-14);Zahodna Nemčija ; Danska;2;0;Skupina 1;;ParkStadionn; Gelsenkirchen;64812;1988
14 junij 1988 (1988-06-14);Italija ; Španija;1;0;Skupina 1;;WaldStadionn; Frankfurt;47506;1988
17 junij 1988 (1988-06-17);Zahodna Nemčija ; Španija;2;0;Skupina 1;;OlympiaStadionn; München;63802;1988
17 junij 1988 (1988-06-17);Italija ; Danska;2;0;Skupina 1;;Müngersdorfer Stadionn; Koln;53951;1988
12 junij 1988 (1988-06-12);Anglija ; Irska;0;1;Skupina 2;;NeckarStadionn; Stuttgart;51373;1988
12 junij 1988 (1988-06-12);Nizozemska ; Sovjetska zveza;0;1;Skupina 2;;Müngersdorfer Stadionn; Koln;54336;1988
15 junij 1988 (1988-06-15);Anglija ; Nizozemska;1;3;Skupina 2;;RheinStadionn; Düsseldorf;63940;1988
15 junij 1988 (1988-06-15);Irska ; Sovjetska zveza;1;1;Skupina 2;;NiedersachsenStadionn; Hanover;38308;1988
18 junij 1988 (1988-06-18);Anglija ; Sovjetska zveza;1;3;Skupina 2;;WaldStadionn; Frankfurt;48335;1988
18 junij 1988 (1988-06-18);Irska ; Nizozemska;0;1;Skupina 2;;ParkStadionn; Gelsenkirchen;64731;1988
21 junij 1988 (1988-06-21);Zahodna Nemčija ; Nizozemska;1;2;Polfinale;;VolksparkStadionn; Hamburg;56115;1988
22 junij 1988 (1988-06-22);Sovjetska zveza ; Italija;2;0;Polfinale;;NeckarStadionn; Stuttgart;61606;1988
25 junij 1988 (1988-06-25);Sovjetska zveza ; Nizozemska;0;2;Finale;;OlympiaStadionn; München;62770;1988
10 junij 1992 (1992-06-10);Švedska ; Francija;1;1;Skupina 1;;Råsunda Stadium; Solna;29860;1992
11 junij 1992 (1992-06-11);Danska ; Anglija;0;0;Skupina 1;;Malmö Stadionn; Malmö;26385;1992
14 junij 1992 (1992-06-14);Francija ; Anglija;0;0;Skupina 1;;Malmö Stadionn; Malmö;26535;1992
14 junij 1992 (1992-06-14);Švedska ; Danska;1;0;Skupina 1;;Råsunda Stadium; Solna;29902;1992
17 junij 1992 (1992-06-17);Švedska ; Anglija;2;1;Skupina 1;;Råsunda Stadium; Solna;30126;1992
17 junij 1992 (1992-06-17);Francija ; Danska;1;2;Skupina 1;;Malmö Stadionn; Malmö;25763;1992
12 junij 1992 (1992-06-12);Nizozemska ; Škotska;1;0;Skupina 2;;Ullevi; Gothenburg;35720;1992
12 junij 1992 (1992-06-12);CIS ; Nemčija;1;1;Skupina 2;;Idrottsparken; Norrköping;17410;1992
15 junij 1992 (1992-06-15);Škotska ; Nemčija;0;2;Skupina 2;;Idrottsparken; Norrköping;17638;1992
15 junij 1992 (1992-06-15);Nizozemska ; CIS;0;0;Skupina 2;;Ullevi; Gothenburg;34440;1992
18 junij 1992 (1992-06-18);Nizozemska ; Nemčija;3;1;Skupina 2;;Ullevi; Gothenburg;37725;1992
18 junij 1992 (1992-06-18);Škotska ; CIS;3;0;Skupina 2;;Idrottsparken; Norrköping;14660;1992
