datum;domaca_ekipa;gostujoca_ekipa;domaci_goli;gostujoci_goli;del_prvenstva;dodatek;stadion;mesto;stevilo_gledalcev;leto
10 junij 2012 (2012-06-10);Španija ; Italija;1;1;Skupina C;;PGE Arena; Gdańsk;38869;2012
10 junij 2012 (2012-06-10);Irska ; Hrvaška;1;3;Skupina C;;Stadionn Miejski; Poznań;39550;2012
14 junij 2012 (2012-06-14);Italija ; Hrvaška;1;1;Skupina C;;Stadionn Miejski; Poznań;37096;2012
14 junij 2012 (2012-06-14);Španija ; Irska;4;0;Skupina C;;PGE Arena; Gdańsk;39150;2012
18 junij 2012 (2012-06-18);Hrvaška ; Španija;0;1;Skupina C;;PGE Arena; Gdańsk;39076;2012
18 junij 2012 (2012-06-18);Italija ; Irska;2;0;Skupina C;;Stadionn Miejski; Poznań;38794;2012
11 junij 2012 (2012-06-11);Francija ; Anglija;1;1;Skupina D;;Donbass Arena; Donetsk;47400;2012
11 junij 2012 (2012-06-11);Ukrajina ; Švedska;2;1;Skupina D;;Olympic Stadium; Kijev;64290;2012
15 junij 2012 (2012-06-15);Ukrajina ; Francija;0;2;Skupina D;;Donbass Arena; Donetsk;48000;2012
15 junij 2012 (2012-06-15);Švedska ; Anglija;2;3;Skupina D;;Olympic Stadium; Kijev;64640;2012
19 junij 2012 (2012-06-19);Anglija ; Ukrajina;1;0;Skupina D;;Donbass Arena; Donetsk;48700;2012
19 junij 2012 (2012-06-19);Švedska ; Francija;2;0;Skupina D;;Olympic Stadium; Kijev;63010;2012
21 junij 2012 (2012-06-21);Češka ; Portugalska;0;1;Četrtfinale;;National Stadium; Varšava;55590;2012
22 junij 2012 (2012-06-22);Nemčija ; Grčija;4;2;Četrtfinale;;PGE Arena; Gdańsk;38751;2012
23 junij 2012 (2012-06-23);Španija ; Francija;2;0;Četrtfinale;;Donbass Arena; Donetsk;47000;2012
24 junij 2012 (2012-06-24);Anglija ; Italija;0;0;Četrtfinale;Italija zmaga na kazenskih udarcih 2-4;Olympic Stadium; Kijev;64340;2012
27 junij 2012 (2012-06-27);Portugalska ; Španija;0;0;Polfinale;Španija zmaga z enajstmetrovkami 2-4;Donbass Arena; Donetsk;48000;2012
28 junij 2012 (2012-06-28);Nemčija ; Italija;1;2;Polfinale;;National Stadium; Varšava;55540;2012
1 julij 2012 (2012-07-01);Španija ; Italija;4;0;Finale;;Olympic Stadium; Kijev;63170;2012
10 junij 2016 (2016-06-10);Francija ; Romunija;2;1;Skupina A;;Stade de France; Saint-Denis;75113;2016
11 junij 2016 (2016-06-11);Albanija ;  Švica;0;1;Skupina A;;Stade Bollaert-Delelis; Lens;33805;2016
15 junij 2016 (2016-06-15);Romunija ;  Švica;1;1;Skupina A;;Parc des Princes; Pariz;43576;2016
15 junij 2016 (2016-06-15);Francija ; Albanija;2;0;Skupina A;;Stade VélodRim; Marseille;63670;2016
19 junij 2016 (2016-06-19);Romunija ; Albanija;0;1;Skupina A;;Parc Olympique Lyonnais; Décines-Charpieu;49752;2016
19 junij 2016 (2016-06-19);Švica  ; Francija;0;0;Skupina A;;Stade Pierre-Mauroy; Villeneuve-d'Ascq;45616;2016
11 junij 2016 (2016-06-11);Wales ; Slovakia;2;1;Skupina B;;Nouveau Stade de Bordeaux; Bordeaux;37831;2016
11 junij 2016 (2016-06-11);Anglija ; Rusija;1;1;Skupina B;;Stade VélodRim; Marseille;62343;2016
15 junij 2016 (2016-06-15);Rusija ; Slovakia;1;2;Skupina B;;Stade Pierre-Mauroy; Villeneuve-d'Ascq;38989;2016
16 junij 2016 (2016-06-16);Anglija ; Wales;2;1;Skupina B;;Stade Bollaert-Delelis; Lens;34033;2016
20 junij 2016 (2016-06-20);Rusija ; Wales;0;3;Skupina B;;Stadium Municipal; Toulouse;28840;2016
20 junij 2016 (2016-06-20);Slovakia ; Anglija;0;0;Skupina B;;Stade Geoffroy-Guichard; Saint-Étienne;39051;2016
12 junij 2016 (2016-06-12);Poljska ; Severna Irska;1;0;Skupina C;;Stade de Nica; Nica;33742;2016
12 junij 2016 (2016-06-12);Nemčija ; Ukrajina;2;0;Skupina C;;Stade Pierre-Mauroy; Villeneuve-d'Ascq;43035;2016
16 junij 2016 (2016-06-16);Ukrajina ; Severna Irska;0;2;Skupina C;;Parc Olympique Lyonnais; Décines-Charpieu;51043;2016
16 junij 2016 (2016-06-16);Nemčija ; Poljska;0;0;Skupina C;;Stade de France; Saint-Denis;73648;2016
21 junij 2016 (2016-06-21);Ukrajina ; Poljska;0;1;Skupina C;;Stade VélodRim; Marseille;58874;2016
21 junij 2016 (2016-06-21);Severna Irska ; Nemčija;0;1;Skupina C;;Parc des Princes; Pariz;44125;2016
12 junij 2016 (2016-06-12);Turčija ; Hrvaška;0;1;Skupina D;;Parc des Princes; Pariz;43842;2016
13 junij 2016 (2016-06-13);Španija ; Češka;1;0;Skupina D;;Stadium Municipal; Toulouse;29400;2016
17 junij 2016 (2016-06-17);Češka ; Hrvaška;2;2;Skupina D;;Stade Geoffroy-Guichard; Saint-Étienne;38376;2016
17 junij 2016 (2016-06-17);Španija ; Turčija;3;0;Skupina D;;Stade de Nica; Nica;33409;2016
21 junij 2016 (2016-06-21);Češka ; Turčija;0;2;Skupina D;;Stade Bollaert-Delelis; Lens;32836;2016
21 junij 2016 (2016-06-21);Hrvaška ; Španija;2;1;Skupina D;;Nouveau Stade de Bordeaux; Bordeaux;37245;2016
13 junij 2016 (2016-06-13);Irska ; Švedska;1;1;Skupina E;;Stade de France; Saint-Denis;73419;2016
13 junij 2016 (2016-06-13);Belgija ; Italija;0;2;Skupina E;;Parc Olympique Lyonnais; Décines-Charpieu;55408;2016
17 junij 2016 (2016-06-17);Italija ; Švedska;1;0;Skupina E;;Stadium Municipal; Toulouse;29600;2016
18 junij 2016 (2016-06-18);Belgija ; Irska;3;0;Skupina E;;Nouveau Stade de Bordeaux; Bordeaux;39493;2016
22 junij 2016 (2016-06-22);Italija ; Irska;0;1;Skupina E;;Stade Pierre-Mauroy; Villeneuve-d'Ascq;44268;2016
22 junij 2016 (2016-06-22);Švedska ; Belgija;0;1;Skupina E;;Stade de Nica; Nica;34011;2016
14 junij 2016 (2016-06-14);Avstrija ; Madžarska;0;2;Skupina F;;Nouveau Stade de Bordeaux; Bordeaux;34424;2016
14 junij 2016 (2016-06-14);Portugalska ; Islandija;1;1;Skupina F;;Stade Geoffroy-Guichard; Saint-Étienne;38742;2016
18 junij 2016 (2016-06-18);Islandija ; Madžarska;1;1;Skupina F;;Stade VélodRim; Marseille;60842;2016
18 junij 2016 (2016-06-18);Portugalska ; Avstrija;0;0;Skupina F;;Parc des Princes; Pariz;44291;2016
22 junij 2016 (2016-06-22);Islandija ; Avstrija;2;1;Skupina F;;Stade de France; Saint-Denis;68714;2016
22 junij 2016 (2016-06-22);Madžarska ; Portugalska;3;3;Skupina F;;Parc Olympique Lyonnais; Décines-Charpieu;55514;2016
25 junij 2016 (2016-06-25);Švica  ; Poljska;1;1;Osmina finala;Poljska zmaga na enajstmetrovkah 4-5;Stade Geoffroy-Guichard; Saint-Étienne;38842;2016
25 junij 2016 (2016-06-25);Wales ; Severna Irska;1;0;Osmina finala;;Parc des Princes; Pariz;44342;2016
25 junij 2016 (2016-06-25);Hrvaška ; Portugalska;0;1;Osmina finala;Portugalska zmaga po podaljšku;Stade Bollaert-Delelis; Lens;33523;2016
26 junij 2016 (2016-06-26);Francija ; Irska;2;1;Osmina finala;;Parc Olympique Lyonnais; Décines-Charpieu;56279;2016
26 junij 2016 (2016-06-26);Nemčija ; Slovakia;3;0;Osmina finala;;Stade Pierre-Mauroy; Villeneuve-d'Ascq;44312;2016
26 junij 2016 (2016-06-26);Madžarska ; Belgija;0;4;Osmina finala;;Stadium Municipal; Toulouse;28921;2016
27 junij 2016 (2016-06-27);Italija ; Španija;2;0;Osmina finala;;Stade de France; Saint-Denis;76165;2016
27 junij 2016 (2016-06-27);Anglija ; Islandija;1;2;Osmina finala;;Stade de Nica; Nica;33901;2016
30 junij 2016 (2016-06-30);Poljska ; Portugalska;1;1;Četrtfinale;Portugalska zmaga na enajstmetrovkah 3-5;Stade VélodRim; Marseille;62940;2016
1 julij 2016 (2016-07-01);Wales ; Belgija;3;1;Četrtfinale;;Stade Pierre-Mauroy; Villeneuve-d'Ascq;45936;2016
2 julij 2016 (2016-07-02);Nemčija ; Italija;1;1;Četrtfinale;Nemčija zmaga na enajstmetrovkah 6-5;Nouveau Stade de Bordeaux; Bordeaux;38764;2016
3 julij 2016 (2016-07-03);Francija ; Islandija;5;2;Četrtfinale;;Stade de France; Saint-Denis;76833;2016
6 julij 2016 (2016-07-06);Portugalska ; Wales;2;0;Polfinale;;Parc Olympique Lyonnais; Décines-Charpieu;55679;2016
7 julij 2016 (2016-07-07);Nemčija ; Francija;0;2;Polfinale;;Stade VélodRim; Marseille;64078;2016
10 julij 2016 (2016-07-10);Portugalska ; Francija;1;0;Finale;Portugalska zmaga po podaljšku;Stade de France; Saint-Denis;75868;2016
